T_s,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
176.91743701861958,1.0,10.0,-1188.990755776565,0.16156339054121893,0.16156339054121893,0.44989795753703193,-2.9962228249324947,false,244.45235956897392,140.45988298560295,0.7064565826901386,1579.9063086507006,-146.46319330516167,0.0013673263897258283,0.16413148367449773,1.7964583200669517,13780.0,193.2155425007072,0.38094743545271376
176.84422658190593,1.0,10.0,-1189.8692810171287,0.16163611176767784,0.16163611176767784,0.4499402826674675,-2.9969736577658757,false,244.5442474807579,140.6144820271559,0.7064075186832397,1580.7925616724976,-146.3790331746111,0.0013685598455917963,0.16427936126893355,1.7966216194616704,13790.0,193.1441377876456,0.38105047755352106
176.77105790975057,1.0,10.0,-1190.747305082993,0.16170902067956128,0.16170902067956128,0.4499823629917442,-2.9977279561138164,false,244.63596902139136,140.36251226224437,0.7063582076140853,1581.678554845586,-146.29528074120162,0.0013697970400221686,0.1644276873230351,1.796783948282306,13800.0,193.07275161653726,0.3811536256219316
176.69793137226299,1.0,10.0,-1191.6248235328442,0.16178201088539976,0.16178201088539976,0.4500241354672644,-2.9984846006220054,false,244.72752401702343,140.31097367936877,0.706308761281531,1582.5630259654286,-146.210678415561,0.001371036170732972,0.16457624576373922,1.7969450875447908,13810.0,193.00138210105936,0.3812567309003455
176.6248473369827,1.0,10.0,-1192.5018319562075,0.16185514311628502,0.16185514311628502,0.45006565155577816,-2.999244255973934,false,244.81891229883973,140.315857486071,0.7062590885642971,1583.4466506508695,-146.1259063958223,0.0013722782712962695,0.16472516050601727,1.7971051418922603,13820.0,192.9300304795952,0.38135987592822573
176.55180539206611,1.0,10.0,-1193.3783352952064,0.16192842822219472,0.16192842822219472,0.4501068914916349,-3.00000700766667,false,244.91013467259808,140.00003281369786,0.7062092208385855,1584.329605194138,-146.04113522633338,0.001373523529377342,0.16487445405011908,1.7972641604990232,13830.0,192.85869709095252,0.3814630785604874
176.47880637926573,1.0,10.0,-1194.2543234488112,0.16200179358293815,0.16200179358293815,0.4501478381613487,-3.000772124293531,false,245.00119037831607,140.15678215364397,0.7061591919142535,1585.2109724784307,-145.9554586513034,0.0013747707136981813,0.16502397877941521,1.7974219658156867,13840.0,192.7873806797808,0.38156623428148867
176.40584985990225,1.0,10.0,-1195.129801681173,0.16207534943844595,0.16207534943844595,0.4501885383933036,-3.001540751378632,false,245.0920802549237,139.8878276962009,0.706108914023588,1586.0920830746497,-145.87020113855306,0.001376021701417509,0.16517395974720456,1.7975788001397064,13850.0,192.7160834289397,0.38166949850347304
176.3329362647387,1.0,10.0,-1196.0047648231357,0.16214898535448657,0.16214898535448657,0.45022892890275606,-3.0023117309417913,false,245.18280405701242,139.86074310017594,0.7060584994333081,1586.9716200789617,-145.7840511988136,0.0013772746174683277,0.1653241721526667,1.7977344330449934,13860.0,192.64480336862013,0.3817727165834856
176.26006590319,1.0,10.0,-1196.87920916172,0.16222277002710506,0.16222277002710506,0.4502690638968172,-3.003085808825995,false,245.27336169205853,139.84559493192555,0.7060078518573892,1587.8503582226926,-145.69778736891408,0.0013785306333613644,0.16547475644932683,1.797888987934238,13870.0,192.57354189217915,0.3818759823711885
176.18723840292637,1.0,10.0,-1197.7531391648836,0.16229670526441228,0.16229670526441228,0.4503089193397802,-3.0038629763907196,false,245.3637539146045,139.54204489133335,0.7059570105462637,1588.7283650428403,-145.6114719633522,0.0013797897833428118,0.16562571674415733,1.7980424944093225,13880.0,192.50229916827482,0.3819793009889662
176.1144546151384,1.0,10.0,-1198.6265446183388,0.16237072497761082,0.16237072497761082,0.45034848258805693,-3.0046425733009574,false,245.45397996062627,139.69841170803844,0.7059060008864387,1589.6047967858751,-145.52427220691015,0.0013810509446190236,0.16577691842556436,1.7981947866774137,13890.0,192.43107405710848,0.38208257691484176
176.04171405868374,1.0,10.0,-1199.499431295795,0.1624449375362713,0.1624449375362713,0.4503877975950175,-3.005425721602621,false,245.5440407193946,139.41363744133434,0.7058547405881304,1590.480968624265,-145.43749660907542,0.0013823159668347827,0.16592858325007684,1.7983461062850277,13900.0,192.35986871820887,0.3821859631802743
175.96901722001044,1.0,10.0,-1200.3717933598746,0.1625192293558059,0.1625192293558059,0.4504268012273976,-3.0062112338389153,false,245.63393588098154,139.41062424216497,0.7058033416272167,1591.3555199272516,-145.3497906863954,0.001383582917003882,0.1660804794710144,1.7984962134319473,13910.0,192.28868111696457,0.3822893005344873
175.89636435086655,1.0,10.0,-1201.2436277896013,0.16259367653135723,0.16259367653135723,0.4504655500646831,-3.0069999309797186,false,245.72366542763703,139.37474998896454,0.7057517032842227,1592.2293180041431,-145.2620247869047,0.0013848530955678125,0.16623276300076145,1.798645249149438,13920.0,192.2175127904562,0.38239269333687986
175.82375512262027,1.0,10.0,-1202.1149385285566,0.1626682718140417,0.1626682718140417,0.4505040159630471,-3.007791710451873,false,245.8132300581234,139.08573561781776,0.7056998723410194,1593.1023207989826,-145.1741522123025,0.0013861263823966227,0.1663854194379626,1.7987932231659176,13930.0,192.14636373618134,0.38249613394334436
175.75119038698367,1.0,10.0,-1202.985715356196,0.1627429562623807,0.1627429562623807,0.4505421907937674,-3.008585988880665,false,245.90262901543397,139.23930334257597,0.7056478657208379,1593.9737662625264,-145.08542189089644,0.001387401774181075,0.16653832849509365,1.7989399832020818,13940.0,192.07523294331872,0.3825995367253496
175.6786696297604,1.0,10.0,-1203.855964442875,0.1628178354334392,0.1628178354334392,0.4505801153977483,-3.0093838554535797,false,245.99186322692577,138.94003113513796,0.7055956069687557,1594.8449420878428,-144.9971144180422,0.0013886810768572767,0.1666917066902373,1.7990857676617622,13950.0,192.0041225287235,0.38270305097411716
175.60619338789957,1.0,10.0,-1204.725679345205,0.16289279357509795,0.16289279357509795,0.4506177271966234,-3.0101841034070462,false,246.08093232533093,138.960486621341,0.7055432071589762,1595.7144558528398,-144.90784418230396,0.0013899623160286891,0.1668453173100258,1.7992303295550385,13960.0,191.93303041192024,0.3828065142250484
175.5337618565198,1.0,10.0,-1205.5948577217623,0.16296791346832634,0.16296791346832634,0.45065508478819766,-3.0109876211998285,false,246.16983636546402,138.90333447715693,0.7054905616671177,1596.5832592488352,-144.81856516160883,0.0013912469094824846,0.1669993303369961,1.7993738261624153,13970.0,191.86195826105455,0.38291004034838766
175.46137475419803,1.0,10.0,-1206.4635029496235,0.16304317892409928,0.16304317892409928,0.45069215604061136,-3.0117942139366027,false,246.25857598665894,138.6309238657314,0.7054377246221943,1597.4512013267986,-144.72912239051607,0.0013925345840010896,0.16715371301564066,1.799516247291791,13980.0,191.79090590322832,0.38301360908198756
175.3890329250112,1.0,10.0,-1207.3316048998654,0.1631185386584085,0.1631185386584085,0.4507289374134615,-3.012603379998585,false,246.34715044884922,138.77939515681018,0.7053847043962392,1598.3176087995835,-144.63885345086874,0.0013938244650292305,0.16730836049409795,1.7996574556961873,13990.0,191.71987246809414,0.3831171454391409
175.31673583066774,1.0,10.0,-1208.199170031987,0.1631940945337419,0.1631940945337419,0.450765466388443,-3.013416166971158,false,246.4355607059981,138.4671054281557,0.7053314307555314,1599.183730497022,-144.54899975903686,0.0013951182995152241,0.16746348222005647,1.7997976843722334,14000.0,191.64886001144782,0.3832207936980012
175.24448405321112,1.0,10.0,-1209.0661913614663,0.16326972960600852,0.16326972960600852,0.45080168137590515,-3.0142313587885496,false,246.5238063408221,138.51020311999832,0.7052780131043204,1600.04815421373,-144.45815651144153,0.0013964140881489485,0.1676188384912291,1.7999366813789093,14010.0,191.57786642681316,0.3833243895688551
175.1722777327762,1.0,10.0,-1209.9326672066854,0.16334553263172658,0.16334553263172658,0.45083764256034475,-3.0150499039383933,false,246.6118874777825,138.43136755502715,0.7052243437234074,1600.9119076085738,-144.36735292410594,0.0013977133544537251,0.1677746119686317,1.8000746187528787,14020.0,191.5068934990767,0.38342805542698694
175.10011663797258,1.0,10.0,-1210.7986003443289,0.16342147859653355,0.16342147859653355,0.4508733140505404,-3.0158715166780157,false,246.6998046940474,138.17743070882628,0.7051704836311735,1601.7747317100407,-144.2763266716645,0.0013990156733821313,0.16793075169309915,1.8002114664257074,14030.0,191.43594088688312,0.38353175854792193
175.0280015978351,1.0,10.0,-1211.6639808259788,0.1634975243430405,0.1634975243430405,0.45090869687287466,-3.016695781548755,false,246.78755727531572,138.3186310336451,0.7051164327123892,1602.6360485007292,-144.18451039943466,0.0014003203077668867,0.1680871692838562,1.8003471035809604,14040.0,191.36500787097165,0.3836354352726365
174.955932058471,1.0,10.0,-1212.5288152983478,0.16357376718095676,0.16357376718095676,0.45094382494162877,-3.0175236960327707,false,246.87514619145202,137.99496390694745,0.705062127303211,1603.497056854282,-144.09309536448222,0.0014016289305912432,0.16824406532239294,1.8004817556061086,14050.0,191.2940964280709,0.38373922363049745
174.88390864146518,1.0,10.0,-1213.3930963024177,0.16365009002908454,0.16365009002908454,0.45097863809692806,-3.0183540456178157,false,246.96257098252863,138.05965219762274,0.705007674383942,1604.3563377104128,-144.00067042546652,0.0014029395356033574,0.16840119927217753,1.800615167988678,14060.0,191.22320444657066,0.38384295900086685
174.81193143412338,1.0,10.0,-1214.2568227905194,0.16372658676087692,0.16372658676087692,0.4510131976774776,-3.019187829775964,false,247.04983183916517,137.95887410676858,0.704952963891919,1605.214984555401,-143.90832992571654,0.0014042537378289293,0.16855876476636517,1.80074752575149,14070.0,191.15233381177572,0.38394677105647457
174.74000025730228,1.0,10.0,-1215.1199969123725,0.16380322379704668,0.16380322379704668,0.45104746423647796,-3.0200246749261304,false,247.1369292744217,137.72508069457993,0.70489806335755,1606.072632992053,-143.81570680525897,0.001405570964153842,0.16871669309301332,1.800878779287438,14080.0,191.08148401814682,0.3840506149682438
174.66811591828284,1.0,10.0,-1215.9826089806058,0.16387996645983247,0.16387996645983247,0.45108144337117806,-3.0208642549837554,false,247.22386260758134,137.85696113268784,0.7048429642067557,1606.9288053516345,-143.7223337634473,0.0014068906215010824,0.1688749131462747,1.8010088253417895,14090.0,191.01065450577087,0.384154438924552
174.59627785568495,1.0,10.0,-1216.8446657317804,0.16395690672606328,0.16395690672606328,0.45111516520064837,-3.021707509658505,false,247.31063281436124,137.5237157920424,0.7047876096974924,1607.7846403620335,-143.62934181589185,0.0014082142951480341,0.169033614993839,1.8011378796475948,14100.0,190.9398471555569,0.38425837358095405
174.5244867247939,1.0,10.0,-1217.7061593024732,0.16403392840334585,0.16403392840334585,0.4511485714712447,-3.022553236461921,false,247.3972393997767,137.60871550642628,0.7047321036050891,1608.6387248377937,-143.53532613554376,0.0014095399895000475,0.16919255937494354,1.8012656875044923,14110.0,190.86905987190408,0.3843622554436865
174.45274256287325,1.0,10.0,-1218.567089245521,0.16411112960387345,0.16411112960387345,0.4511817241927152,-3.0234024766771586,false,247.48368261641264,137.48588676701064,0.7046763343255239,1609.492207582986,-143.44143572105258,0.0014108693964180168,0.16935194913653587,1.801392445051762,14120.0,190.7982946233168,0.384466220243943
174.3810452445907,1.0,10.0,-1219.4274570649116,0.16418846849994842,0.16418846849994842,0.4512145806185148,-3.024254772438976,false,247.56996291210442,137.27370029343953,0.7046203754545426,1610.3446221164718,-143.3472021394557,0.0014122017994721344,0.16951169838322733,1.8015180836307467,14130.0,190.72755074554368,0.3845702114869886
174.30939554947008,1.0,10.0,-1220.287253406359,0.16426591917581024,0.16426591917581024,0.45124715086526906,-3.025109889551869,false,247.6560796465387,137.3943411398323,0.7045642100834306,1611.1955952861092,-143.25226223321147,0.0014135367552124724,0.16967175394822576,1.8016425184968632,14140.0,190.65682784471977,0.3846741896248752
174.23779291627133,1.0,10.0,-1221.146485004744,0.16434356751520565,0.16434356751520565,0.45127946107771794,-3.025968702458353,false,247.7420337920064,137.05347838468808,0.7045077886972667,1612.0461957743282,-143.15767697757792,0.0014148757477133542,0.16983229376698644,1.8017659537580124,14150.0,190.5861276898565,0.3847782768478678
174.1662380280604,1.0,10.0,-1222.005143663275,0.1644212993148773,0.1644212993148773,0.45131145536332,-3.0268300319403734,false,247.8278248260104,137.15728073107454,0.7044512110177846,1612.8950299022433,-143.06206141295797,0.001416216811043737,0.16999308213333514,1.801888137062577,14160.0,190.5154482238904,0.38488231234748416
